date,hour,season,peak,RIC,spot,forecast,value_bl,value_gas
2024-01-01,1,,,HEEGRAUCH,107.09,,,
2024-01-01,2,,,HEEGRAUCH,104,,,
2024-01-01,3,,,HEEGRAUCH,100,,,
2024-01-01,4,,,HEEGRAUCH,85.66,,,
2024-01-01,5,,,HEEGRAUCH,85,,,
2024-01-01,6,,,HEEGRAUCH,85.53,,,
2024-01-01,7,,,HEEGRAUCH,95.07,,,
2024-01-01,8,,,HEEGRAUCH,103.07,,,
2024-01-01,9,,,HEEGRAUCH,65,,,
2024-01-01,10,,,HEEGRAUCH,47.34,,,
2024-01-01,11,,,HEEGRAUCH,1,,,
2024-01-01,12,,,HEEGRAUCH,0.54,,,
2024-01-01,13,,,HEEGRAUCH,2.24,,,
2024-01-01,14,,,HEEGRAUCH,3.24,,,
2024-01-01,15,,,HEEGRAUCH,65.1,,,
2024-01-01,16,,,HEEGRAUCH,96.91,,,
2024-01-01,17,,,HEEGRAUCH,97.44,,,
2024-01-01,18,,,HEEGRAUCH,94,,,
2024-01-01,19,,,HEEGRAUCH,98.58,,,
2024-01-01,20,,,HEEGRAUCH,101.03,,,
2024-01-01,21,,,HEEGRAUCH,105.72,,,
2024-01-01,22,,,HEEGRAUCH,101.06,,,
2024-01-01,23,,,HEEGRAUCH,103.19,,,
2024-01-01,24,,,HEEGRAUCH,99.05,,,
2024-01-02,1,,,HEEGRAUCH,55,,,
2024-01-02,2,,,HEEGRAUCH,90.09,,,
2024-01-02,3,,,HEEGRAUCH,84.27,,,
2024-01-02,4,,,HEEGRAUCH,40.82,,,
2024-01-02,5,,,HEEGRAUCH,84.27,,,
2024-01-02,6,,,HEEGRAUCH,100,,,
2024-01-02,7,,,HEEGRAUCH,108.28,,,
2024-01-02,8,,,HEEGRAUCH,113.85,,,
2024-01-02,9,,,HEEGRAUCH,107.42,,,
2024-01-02,10,,,HEEGRAUCH,76.36,,,
2024-01-02,11,,,HEEGRAUCH,75.6,,,
2024-01-02,12,,,HEEGRAUCH,77.87,,,
2024-01-02,13,,,HEEGRAUCH,80.27,,,
2024-01-02,14,,,HEEGRAUCH,81.27,,,
2024-01-02,15,,,HEEGRAUCH,95.12,,,
2024-01-02,16,,,HEEGRAUCH,102.56,,,
2024-01-02,17,,,HEEGRAUCH,102.38,,,
2024-01-02,18,,,HEEGRAUCH,103.32,,,
2024-01-02,19,,,HEEGRAUCH,103.58,,,
2024-01-02,20,,,HEEGRAUCH,106.06,,,
2024-01-02,21,,,HEEGRAUCH,104.96,,,
2024-01-02,22,,,HEEGRAUCH,102.2,,,
2024-01-02,23,,,HEEGRAUCH,101.97,,,
2024-01-02,24,,,HEEGRAUCH,92.41,,,
2024-01-03,1,,,HEEGRAUCH,82.5,,,
2024-01-03,2,,,HEEGRAUCH,70.1,,,
2024-01-03,3,,,HEEGRAUCH,50.21,,,
2024-01-03,4,,,HEEGRAUCH,40,,,
2024-01-03,5,,,HEEGRAUCH,50,,,
2024-01-03,6,,,HEEGRAUCH,75,,,
2024-01-03,7,,,HEEGRAUCH,95.46,,,
2024-01-03,8,,,HEEGRAUCH,107.15,,,
2024-01-03,9,,,HEEGRAUCH,101.01,,,
2024-01-03,10,,,HEEGRAUCH,65,,,
2024-01-03,11,,,HEEGRAUCH,99.15,,,
2024-01-03,12,,,HEEGRAUCH,87.25,,,
2024-01-03,13,,,HEEGRAUCH,75.33,,,
2024-01-03,14,,,HEEGRAUCH,86.97,,,
2024-01-03,15,,,HEEGRAUCH,90.96,,,
2024-01-03,16,,,HEEGRAUCH,72.23,,,
2024-01-03,17,,,HEEGRAUCH,83.06,,,
2024-01-03,18,,,HEEGRAUCH,90.78,,,
2024-01-03,19,,,HEEGRAUCH,96.46,,,
2024-01-03,20,,,HEEGRAUCH,97.06,,,
2024-01-03,21,,,HEEGRAUCH,96.45,,,
2024-01-03,22,,,HEEGRAUCH,103.61,,,
2024-01-03,23,,,HEEGRAUCH,101.05,,,
2024-01-03,24,,,HEEGRAUCH,82.59,,,
2024-01-04,1,,,HEEGRAUCH,74.19,,,
2024-01-04,2,,,HEEGRAUCH,65,,,
2024-01-04,3,,,HEEGRAUCH,40,,,
2024-01-04,4,,,HEEGRAUCH,35.2,,,
2024-01-04,5,,,HEEGRAUCH,49.39,,,
2024-01-04,6,,,HEEGRAUCH,70.1,,,
2024-01-04,7,,,HEEGRAUCH,97.61,,,
2024-01-04,8,,,HEEGRAUCH,85.02,,,
2024-01-04,9,,,HEEGRAUCH,91.47,,,
2024-01-04,10,,,HEEGRAUCH,94.2,,,
2024-01-04,11,,,HEEGRAUCH,73.83,,,
2024-01-04,12,,,HEEGRAUCH,70.1,,,
2024-01-04,13,,,HEEGRAUCH,70.1,,,
