date,value,RIC
2023-12-29,30.35,TTFDA
2023-12-28,31.85,TTFDA
2023-12-27,33.875,TTFDA
2023-12-26,32.65,TTFDA
2023-12-25,31.75,TTFDA
2023-12-22,32.4,TTFDA
2023-12-21,32.8,TTFDA
2023-12-20,33.475,TTFDA
2023-12-19,34,TTFDA
2023-12-18,35.275,TTFDA
2023-12-15,31.5,TTFDA
2023-12-14,33.275,TTFDA
2023-12-13,34.7,TTFDA
2023-12-12,33.025,TTFDA
2023-12-11,36.425,TTFDA
2023-12-08,38,TTFDA
2023-12-07,41.375,TTFDA
2023-12-06,40.15,TTFDA
2023-12-05,38.5,TTFDA
2023-12-04,40,TTFDA
2023-12-01,43.625,TTFDA
2023-11-30,41.8,TTFDA
2023-11-29,41.5,TTFDA
2023-11-28,44.825,TTFDA
2023-11-27,44.9,TTFDA
2023-11-24,46.2,TTFDA
2023-11-23,46.95,TTFDA
2023-11-22,46.15,TTFDA
2023-11-21,43.475,TTFDA
2023-11-20,45.725,TTFDA
2023-11-17,44.725,TTFDA
2023-11-16,47.2,TTFDA
2023-11-15,46.05,TTFDA
2023-11-14,45.5,TTFDA
2023-11-13,42.1,TTFDA
2023-11-10,43.4,TTFDA
2023-11-09,42.5,TTFDA
2023-11-08,44,TTFDA
2023-11-07,43.3,TTFDA
2023-11-06,42.375,TTFDA
2023-11-03,42.325,TTFDA
2023-11-02,42.1,TTFDA
2023-11-01,37.025,TTFDA
2023-10-31,40.55,TTFDA
2023-10-30,48.35,TTFDA
2023-10-27,48.325,TTFDA
2023-10-26,48.05,TTFDA
2023-10-25,49.725,TTFDA
2023-10-24,48.65,TTFDA
2023-10-23,50.4,TTFDA
2023-10-20,48.95,TTFDA
2023-10-19,44.475,TTFDA
2023-10-18,47.025,TTFDA
2023-10-17,45,TTFDA
2023-10-16,47.525,TTFDA
2023-10-13,54.35,TTFDA
2023-10-12,49.25,TTFDA
2023-10-11,46.35,TTFDA
2023-10-10,45.75,TTFDA
2023-10-09,40.85,TTFDA
2023-10-06,34.5,TTFDA
2023-10-05,29.225,TTFDA
2023-10-04,32.725,TTFDA
2023-10-03,30.4,TTFDA
2023-10-02,32.25,TTFDA
2023-09-29,36.9,TTFDA
2023-09-28,39.925,TTFDA
2023-09-27,40.4,TTFDA
2023-09-26,39.55,TTFDA
2023-09-25,42.85,TTFDA
2023-09-22,40.625,TTFDA
2023-09-21,38.4,TTFDA
2023-09-20,38.525,TTFDA
2023-09-19,39.225,TTFDA
