date,hour,value,RIC
2024-01-01,24,99.05,HEEGRAUCH
2024-01-01,23,103.19,HEEGRAUCH
2024-01-01,22,101.06,HEEGRAUCH
2024-01-01,21,105.72,HEEGRAUCH
2024-01-01,20,101.03,HEEGRAUCH
2024-01-01,19,98.58,HEEGRAUCH
2024-01-01,18,94,HEEGRAUCH
2024-01-01,17,97.44,HEEGRAUCH
2024-01-01,16,96.91,HEEGRAUCH
2024-01-01,15,65.1,HEEGRAUCH
2024-01-01,14,3.24,HEEGRAUCH
2024-01-01,13,2.24,HEEGRAUCH
2024-01-01,12,0.54,HEEGRAUCH
2024-01-01,11,1,HEEGRAUCH
2024-01-01,10,47.34,HEEGRAUCH
2024-01-01,9,65,HEEGRAUCH
2024-01-01,8,103.07,HEEGRAUCH
2024-01-01,7,95.07,HEEGRAUCH
2024-01-01,6,85.53,HEEGRAUCH
2024-01-01,5,85,HEEGRAUCH
2024-01-01,4,85.66,HEEGRAUCH
2024-01-01,3,100,HEEGRAUCH
2024-01-01,2,104,HEEGRAUCH
2024-01-01,1,107.09,HEEGRAUCH
2023-12-31,24,106.12,HEEGRAUCH
2023-12-31,23,108.96,HEEGRAUCH
2023-12-31,22,117.23,HEEGRAUCH
2023-12-31,21,129.03,HEEGRAUCH
2023-12-31,20,123.82,HEEGRAUCH
2023-12-31,19,132.78,HEEGRAUCH
2023-12-31,18,132,HEEGRAUCH
2023-12-31,17,117.2,HEEGRAUCH
2023-12-31,16,108.62,HEEGRAUCH
2023-12-31,15,107.94,HEEGRAUCH
2023-12-31,14,107.26,HEEGRAUCH
2023-12-31,13,108.62,HEEGRAUCH
2023-12-31,12,109.03,HEEGRAUCH
2023-12-31,11,108.96,HEEGRAUCH
2023-12-31,10,113.8,HEEGRAUCH
2023-12-31,9,108.96,HEEGRAUCH
2023-12-31,8,107.94,HEEGRAUCH
2023-12-31,7,79.08,HEEGRAUCH
2023-12-31,6,104,HEEGRAUCH
2023-12-31,5,95,HEEGRAUCH
2023-12-31,4,100,HEEGRAUCH
2023-12-31,3,105.45,HEEGRAUCH
2023-12-31,2,107.06,HEEGRAUCH
2023-12-31,1,109.12,HEEGRAUCH
2023-12-30,24,108.81,HEEGRAUCH
2023-12-30,23,110,HEEGRAUCH
2023-12-30,22,113.29,HEEGRAUCH
2023-12-30,21,125.35,HEEGRAUCH
2023-12-30,20,124.93,HEEGRAUCH
2023-12-30,19,131.54,HEEGRAUCH
2023-12-30,18,132,HEEGRAUCH
2023-12-30,17,115,HEEGRAUCH
2023-12-30,16,109.46,HEEGRAUCH
2023-12-30,15,108.76,HEEGRAUCH
2023-12-30,14,106.93,HEEGRAUCH
2023-12-30,13,101.01,HEEGRAUCH
2023-12-30,12,87,HEEGRAUCH
2023-12-30,11,107.01,HEEGRAUCH
2023-12-30,10,112.48,HEEGRAUCH
2023-12-30,9,108.96,HEEGRAUCH
2023-12-30,8,108.21,HEEGRAUCH
2023-12-30,7,58.65,HEEGRAUCH
2023-12-30,6,104,HEEGRAUCH
2023-12-30,5,95,HEEGRAUCH
2023-12-30,4,93.65,HEEGRAUCH
2023-12-30,3,100,HEEGRAUCH
2023-12-30,2,104.73,HEEGRAUCH
2023-12-30,1,105.78,HEEGRAUCH
2023-12-29,24,109.62,HEEGRAUCH
2023-12-29,23,113.54,HEEGRAUCH
2023-12-29,22,115.25,HEEGRAUCH
2023-12-29,21,114.03,HEEGRAUCH
2023-12-29,20,111.84,HEEGRAUCH
2023-12-29,19,107.61,HEEGRAUCH
2023-12-29,18,106.3,HEEGRAUCH
2023-12-29,17,95.14,HEEGRAUCH
2023-12-29,16,92.92,HEEGRAUCH
2023-12-29,15,60.99,HEEGRAUCH
2023-12-29,14,9.86,HEEGRAUCH
2023-12-29,13,8.55,HEEGRAUCH
2023-12-29,12,9.86,HEEGRAUCH
2023-12-29,11,9.86,HEEGRAUCH
2023-12-29,10,20,HEEGRAUCH
2023-12-29,9,49.93,HEEGRAUCH
2023-12-29,8,120,HEEGRAUCH
2023-12-29,7,110.65,HEEGRAUCH
2023-12-29,6,110.54,HEEGRAUCH
2023-12-29,5,60.9,HEEGRAUCH
2023-12-29,4,51.74,HEEGRAUCH
2023-12-29,3,95.08,HEEGRAUCH
2023-12-29,2,109.62,HEEGRAUCH
2023-12-29,1,107.31,HEEGRAUCH
2023-12-28,24,96.3,HEEGRAUCH
2023-12-28,23,112,HEEGRAUCH
2023-12-28,22,114.8,HEEGRAUCH
2023-12-28,21,119.41,HEEGRAUCH
2023-12-28,20,131.89,HEEGRAUCH
2023-12-28,19,128.44,HEEGRAUCH
2023-12-28,18,119.39,HEEGRAUCH
2023-12-28,17,116,HEEGRAUCH
2023-12-28,16,108.61,HEEGRAUCH
2023-12-28,15,98.17,HEEGRAUCH
2023-12-28,14,74.59,HEEGRAUCH
2023-12-28,13,56.42,HEEGRAUCH
2023-12-28,12,49,HEEGRAUCH
2023-12-28,11,64.95,HEEGRAUCH
2023-12-28,10,104.98,HEEGRAUCH
2023-12-28,9,115.13,HEEGRAUCH
2023-12-28,8,112.37,HEEGRAUCH
2023-12-28,7,110.44,HEEGRAUCH
2023-12-28,6,88.96,HEEGRAUCH
2023-12-28,5,83.01,HEEGRAUCH
2023-12-28,4,80,HEEGRAUCH
