date,hour,value,RIC
2024-12-31,24,65.1,OPCOMRTR
2024-12-31,23,107.6,OPCOMRTR
2024-12-31,22,131.4,OPCOMRTR
2024-12-31,21,139.62,OPCOMRTR
2024-12-31,20,149.55,OPCOMRTR
2024-12-31,19,142.1,OPCOMRTR
2024-12-31,18,145.37,OPCOMRTR
2024-12-31,17,120.79,OPCOMRTR
2024-12-31,16,90.51,OPCOMRTR
2024-12-31,15,66.8,OPCOMRTR
2024-12-31,14,53.17,OPCOMRTR
2024-12-31,13,36.56,OPCOMRTR
2024-12-31,12,32.8,OPCOMRTR
2024-12-31,11,28.98,OPCOMRTR
2024-12-31,10,41.43,OPCOMRTR
2024-12-31,9,29.22,OPCOMRTR
2024-12-31,8,56.78,OPCOMRTR
2024-12-31,7,62.42,OPCOMRTR
2024-12-31,6,66.7,OPCOMRTR
2024-12-31,5,64.28,OPCOMRTR
2024-12-31,4,84.48,OPCOMRTR
2024-12-31,3,124.42,OPCOMRTR
2024-12-31,2,134.06,OPCOMRTR
2024-12-31,1,138.7,OPCOMRTR
2024-12-30,24,117.75,OPCOMRTR
2024-12-30,23,122.04,OPCOMRTR
2024-12-30,22,150,OPCOMRTR
2024-12-30,21,164.94,OPCOMRTR
2024-12-30,20,178.88,OPCOMRTR
2024-12-30,19,187.2,OPCOMRTR
2024-12-30,18,341.92,OPCOMRTR
2024-12-30,17,227.08,OPCOMRTR
2024-12-30,16,178.88,OPCOMRTR
2024-12-30,15,133.51,OPCOMRTR
2024-12-30,14,104.04,OPCOMRTR
2024-12-30,13,100.73,OPCOMRTR
2024-12-30,12,102.94,OPCOMRTR
2024-12-30,11,113.16,OPCOMRTR
2024-12-30,10,122.79,OPCOMRTR
2024-12-30,9,120.73,OPCOMRTR
2024-12-30,8,154.83,OPCOMRTR
2024-12-30,7,134.32,OPCOMRTR
2024-12-30,6,112.38,OPCOMRTR
2024-12-30,5,96.22,OPCOMRTR
2024-12-30,4,96.5,OPCOMRTR
2024-12-30,3,97.31,OPCOMRTR
2024-12-30,2,93.86,OPCOMRTR
2024-12-30,1,113.97,OPCOMRTR
2024-12-29,24,132.32,OPCOMRTR
2024-12-29,23,141.78,OPCOMRTR
2024-12-29,22,167.13,OPCOMRTR
2024-12-29,21,178.89,OPCOMRTR
2024-12-29,20,183.21,OPCOMRTR
2024-12-29,19,237.43,OPCOMRTR
2024-12-29,18,224.06,OPCOMRTR
2024-12-29,17,223.7,OPCOMRTR
2024-12-29,16,150.52,OPCOMRTR
2024-12-29,15,118.64,OPCOMRTR
2024-12-29,14,112.9,OPCOMRTR
2024-12-29,13,103.9,OPCOMRTR
2024-12-29,12,105.45,OPCOMRTR
2024-12-29,11,116.66,OPCOMRTR
2024-12-29,10,131.83,OPCOMRTR
2024-12-29,9,152.07,OPCOMRTR
2024-12-29,8,165.88,OPCOMRTR
2024-12-29,7,142.5,OPCOMRTR
2024-12-29,6,118.78,OPCOMRTR
2024-12-29,5,100.45,OPCOMRTR
2024-12-29,4,88.39,OPCOMRTR
2024-12-29,3,90.62,OPCOMRTR
2024-12-29,2,95.18,OPCOMRTR
2024-12-29,1,106,OPCOMRTR
2024-12-28,24,129.09,OPCOMRTR
2024-12-28,23,146.18,OPCOMRTR
2024-12-28,22,164.94,OPCOMRTR
2024-12-28,21,178.89,OPCOMRTR
2024-12-28,20,178.88,OPCOMRTR
2024-12-28,19,178.88,OPCOMRTR
2024-12-28,18,178.88,OPCOMRTR
2024-12-28,17,178.88,OPCOMRTR
2024-12-28,16,138.97,OPCOMRTR
2024-12-28,15,119.9,OPCOMRTR
2024-12-28,14,108.88,OPCOMRTR
2024-12-28,13,105.13,OPCOMRTR
2024-12-28,12,105.15,OPCOMRTR
2024-12-28,11,108.56,OPCOMRTR
2024-12-28,10,116.31,OPCOMRTR
2024-12-28,9,110.71,OPCOMRTR
2024-12-28,8,103.18,OPCOMRTR
2024-12-28,7,98.16,OPCOMRTR
2024-12-28,6,98.61,OPCOMRTR
2024-12-28,5,97.73,OPCOMRTR
2024-12-28,4,101.7,OPCOMRTR
2024-12-28,3,107.71,OPCOMRTR
2024-12-28,2,114.09,OPCOMRTR
2024-12-28,1,127.39,OPCOMRTR
2024-12-27,24,116.12,OPCOMRTR
2024-12-27,23,121.25,OPCOMRTR
2024-12-27,22,125.9,OPCOMRTR
2024-12-27,21,160.59,OPCOMRTR
2024-12-27,20,178.88,OPCOMRTR
2024-12-27,19,178.89,OPCOMRTR
2024-12-27,18,200.24,OPCOMRTR
2024-12-27,17,185.97,OPCOMRTR
2024-12-27,16,139.35,OPCOMRTR
2024-12-27,15,118.07,OPCOMRTR
2024-12-27,14,110.01,OPCOMRTR
2024-12-27,13,108.97,OPCOMRTR
2024-12-27,12,113.4,OPCOMRTR
2024-12-27,11,122.83,OPCOMRTR
2024-12-27,10,128.3,OPCOMRTR
2024-12-27,9,128,OPCOMRTR
2024-12-27,8,124.24,OPCOMRTR
2024-12-27,7,109.71,OPCOMRTR
2024-12-27,6,105.58,OPCOMRTR
2024-12-27,5,102.93,OPCOMRTR
2024-12-27,4,105.92,OPCOMRTR
2024-12-27,3,110.15,OPCOMRTR
2024-12-27,2,116.63,OPCOMRTR
2024-12-27,1,126.4,OPCOMRTR
2024-12-26,24,114,OPCOMRTR
2024-12-26,23,126.76,OPCOMRTR
2024-12-26,22,125.42,OPCOMRTR
2024-12-26,21,133.14,OPCOMRTR
2024-12-26,20,146.43,OPCOMRTR
2024-12-26,19,158.4,OPCOMRTR
2024-12-26,18,151.95,OPCOMRTR
2024-12-26,17,147.38,OPCOMRTR
2024-12-26,16,138.02,OPCOMRTR
2024-12-26,15,122.44,OPCOMRTR
2024-12-26,14,107.94,OPCOMRTR
2024-12-26,13,107.81,OPCOMRTR
2024-12-26,12,107.94,OPCOMRTR
2024-12-26,11,120.1,OPCOMRTR
2024-12-26,10,130.15,OPCOMRTR
2024-12-26,9,131.85,OPCOMRTR
2024-12-26,8,124.29,OPCOMRTR
2024-12-26,7,115.7,OPCOMRTR
2024-12-26,6,106.2,OPCOMRTR
2024-12-26,5,99.58,OPCOMRTR
